"f (Hz)"	"G_exp (S)"	"G_mod (S)"	"B_exp (S)"	"B_mod (S)"	"R_exp (Ohm)"	"R_mod (Ohm)"	"X_exp (Ohm)"	"X_mod (Ohm)"
1.1740e+05	2.7500e-05	2.6812e-05	4.4800e-04	4.5549e-04	1.3650e+02	1.2879e+02	-2.2238e+03	-2.1879e+03	
1.1750e+05	2.7500e-05	2.7112e-05	4.4900e-04	4.5745e-04	1.3590e+02	1.2911e+02	-2.2188e+03	-2.1784e+03	
1.1760e+05	2.7500e-05	2.7420e-05	4.4900e-04	4.5944e-04	1.3590e+02	1.2944e+02	-2.2188e+03	-2.1688e+03	
1.1770e+05	2.7600e-05	2.7735e-05	4.5000e-04	4.6147e-04	1.3579e+02	1.2977e+02	-2.2139e+03	-2.1592e+03	
1.1780e+05	2.7900e-05	2.8060e-05	4.5100e-04	4.6353e-04	1.3664e+02	1.3012e+02	-2.2088e+03	-2.1495e+03	
1.1790e+05	2.8100e-05	2.8392e-05	4.5200e-04	4.6562e-04	1.3701e+02	1.3047e+02	-2.2039e+03	-2.1397e+03	
1.1800e+05	2.8400e-05	2.8734e-05	4.5500e-04	4.6775e-04	1.3665e+02	1.3084e+02	-2.1893e+03	-2.1299e+03	
1.1810e+05	2.8600e-05	2.9085e-05	4.5900e-04	4.6992e-04	1.3523e+02	1.3121e+02	-2.1702e+03	-2.1199e+03	
1.1820e+05	2.8800e-05	2.9446e-05	4.6200e-04	4.7212e-04	1.3441e+02	1.3159e+02	-2.1561e+03	-2.1099e+03	
1.1830e+05	2.9000e-05	2.9817e-05	4.6600e-04	4.7437e-04	1.3303e+02	1.3198e+02	-2.1376e+03	-2.0998e+03	
1.1840e+05	2.9200e-05	3.0199e-05	4.6800e-04	4.7665e-04	1.3280e+02	1.3239e+02	-2.1285e+03	-2.0896e+03	
1.1850e+05	2.9400e-05	3.0591e-05	4.7000e-04	4.7898e-04	1.3257e+02	1.3280e+02	-2.1194e+03	-2.0793e+03	
1.1860e+05	2.9800e-05	3.0994e-05	4.7100e-04	4.8135e-04	1.3379e+02	1.3322e+02	-2.1147e+03	-2.0689e+03	
1.1870e+05	3.0400e-05	3.1410e-05	4.7300e-04	4.8376e-04	1.3532e+02	1.3365e+02	-2.1055e+03	-2.0584e+03	
1.1880e+05	3.0900e-05	3.1838e-05	4.7400e-04	4.8622e-04	1.3695e+02	1.3409e+02	-2.1008e+03	-2.0479e+03	
1.1890e+05	3.1500e-05	3.2278e-05	4.7700e-04	4.8873e-04	1.3784e+02	1.3455e+02	-2.0873e+03	-2.0372e+03	
1.1900e+05	3.2100e-05	3.2732e-05	4.8100e-04	4.9129e-04	1.3813e+02	1.3501e+02	-2.0698e+03	-2.0265e+03	
1.1910e+05	3.2600e-05	3.3200e-05	4.8500e-04	4.9389e-04	1.3797e+02	1.3549e+02	-2.0526e+03	-2.0156e+03	
1.1920e+05	3.3200e-05	3.3682e-05	4.8900e-04	4.9655e-04	1.3820e+02	1.3598e+02	-2.0356e+03	-2.0047e+03	
1.1930e+05	3.3800e-05	3.4180e-05	4.9300e-04	4.9926e-04	1.3842e+02	1.3648e+02	-2.0189e+03	-1.9936e+03	
1.1940e+05	3.4300e-05	3.4693e-05	4.9500e-04	5.0203e-04	1.3932e+02	1.3700e+02	-2.0105e+03	-1.9825e+03	
1.1950e+05	3.4800e-05	3.5223e-05	4.9500e-04	5.0485e-04	1.4133e+02	1.3753e+02	-2.0103e+03	-1.9712e+03	
1.1960e+05	3.5100e-05	3.5770e-05	4.9500e-04	5.0774e-04	1.4253e+02	1.3807e+02	-2.0101e+03	-1.9598e+03	
1.1970e+05	3.5300e-05	3.6335e-05	4.9500e-04	5.1068e-04	1.4334e+02	1.3862e+02	-2.0100e+03	-1.9483e+03	
1.1980e+05	3.5600e-05	3.6919e-05	4.9500e-04	5.1369e-04	1.4454e+02	1.3919e+02	-2.0098e+03	-1.9367e+03	
1.1990e+05	3.5800e-05	3.7523e-05	4.9900e-04	5.1676e-04	1.4304e+02	1.3978e+02	-1.9937e+03	-1.9250e+03	
1.2000e+05	3.6500e-05	3.8148e-05	5.0300e-04	5.1990e-04	1.4351e+02	1.4038e+02	-1.9777e+03	-1.9131e+03	
1.2010e+05	3.7300e-05	3.8794e-05	5.0800e-04	5.2312e-04	1.4376e+02	1.4099e+02	-1.9579e+03	-1.9012e+03	
1.2020e+05	3.8100e-05	3.9463e-05	5.1200e-04	5.2640e-04	1.4454e+02	1.4162e+02	-1.9424e+03	-1.8891e+03	
1.2030e+05	3.8900e-05	4.0156e-05	5.1600e-04	5.2976e-04	1.4527e+02	1.4227e+02	-1.9270e+03	-1.8769e+03	
1.2040e+05	3.9600e-05	4.0874e-05	5.2100e-04	5.3320e-04	1.4505e+02	1.4293e+02	-1.9084e+03	-1.8645e+03	
1.2050e+05	4.0200e-05	4.1619e-05	5.2600e-04	5.3672e-04	1.4445e+02	1.4361e+02	-1.8901e+03	-1.8520e+03	
1.2060e+05	4.0900e-05	4.2391e-05	5.3000e-04	5.4033e-04	1.4474e+02	1.4431e+02	-1.8756e+03	-1.8394e+03	
1.2070e+05	4.1600e-05	4.3192e-05	5.3500e-04	5.4402e-04	1.4447e+02	1.4503e+02	-1.8579e+03	-1.8267e+03	
1.2080e+05	4.2300e-05	4.4024e-05	5.3900e-04	5.4781e-04	1.4471e+02	1.4576e+02	-1.8439e+03	-1.8138e+03	
1.2090e+05	4.3200e-05	4.4889e-05	5.4200e-04	5.5169e-04	1.4613e+02	1.4652e+02	-1.8334e+03	-1.8007e+03	
1.2100e+05	4.4100e-05	4.5787e-05	5.4600e-04	5.5566e-04	1.4697e+02	1.4729e+02	-1.8196e+03	-1.7875e+03	
1.2110e+05	4.5000e-05	4.6722e-05	5.4900e-04	5.5975e-04	1.4831e+02	1.4809e+02	-1.8093e+03	-1.7742e+03	
1.2120e+05	4.6000e-05	4.7694e-05	5.5200e-04	5.6394e-04	1.4993e+02	1.4891e+02	-1.7991e+03	-1.7607e+03	
1.2130e+05	4.7100e-05	4.8706e-05	5.5600e-04	5.6824e-04	1.5127e+02	1.4974e+02	-1.7857e+03	-1.7470e+03	
1.2140e+05	4.8200e-05	4.9761e-05	5.6100e-04	5.7265e-04	1.5203e+02	1.5061e+02	-1.7695e+03	-1.7332e+03	
1.2150e+05	4.9300e-05	5.0861e-05	5.6500e-04	5.7719e-04	1.5327e+02	1.5149e+02	-1.7565e+03	-1.7192e+03	
1.2160e+05	5.0300e-05	5.2009e-05	5.7000e-04	5.8186e-04	1.5362e+02	1.5240e+02	-1.7408e+03	-1.7050e+03	
1.2170e+05	5.1400e-05	5.3206e-05	5.7500e-04	5.8665e-04	1.5423e+02	1.5334e+02	-1.7253e+03	-1.6907e+03	
1.2180e+05	5.2400e-05	5.4458e-05	5.8000e-04	5.9159e-04	1.5451e+02	1.5429e+02	-1.7102e+03	-1.6762e+03	
1.2190e+05	5.3500e-05	5.5766e-05	5.8700e-04	5.9667e-04	1.5399e+02	1.5528e+02	-1.6895e+03	-1.6615e+03	
1.2200e+05	5.4700e-05	5.7134e-05	5.9300e-04	6.0190e-04	1.5424e+02	1.5630e+02	-1.6721e+03	-1.6466e+03	
1.2210e+05	5.5900e-05	5.8566e-05	6.0000e-04	6.0729e-04	1.5394e+02	1.5734e+02	-1.6523e+03	-1.6315e+03	
1.2220e+05	5.7000e-05	6.0067e-05	6.0600e-04	6.1285e-04	1.5385e+02	1.5841e+02	-1.6357e+03	-1.6162e+03	
1.2230e+05	5.8700e-05	6.1641e-05	6.1300e-04	6.1858e-04	1.5479e+02	1.5951e+02	-1.6165e+03	-1.6007e+03	
1.2240e+05	6.0600e-05	6.3293e-05	6.1900e-04	6.2449e-04	1.5666e+02	1.6064e+02	-1.6002e+03	-1.5850e+03	
1.2250e+05	6.2500e-05	6.5028e-05	6.2500e-04	6.3060e-04	1.5842e+02	1.6181e+02	-1.5842e+03	-1.5691e+03	
1.2260e+05	6.4500e-05	6.6851e-05	6.3100e-04	6.3690e-04	1.6032e+02	1.6301e+02	-1.5684e+03	-1.5530e+03	
1.2270e+05	6.6000e-05	6.8770e-05	6.3700e-04	6.4342e-04	1.6093e+02	1.6424e+02	-1.5532e+03	-1.5366e+03	
1.2280e+05	6.7500e-05	7.0791e-05	6.4300e-04	6.5016e-04	1.6148e+02	1.6551e+02	-1.5383e+03	-1.5201e+03	
1.2290e+05	6.9000e-05	7.2921e-05	6.4800e-04	6.5713e-04	1.6248e+02	1.6682e+02	-1.5259e+03	-1.5033e+03	
